O_A,O_B,S_A,S_B
1.437969,1.871342,0.380004,0.283541
-0.366856,0.897831,0.775158,0.906283
-2.467898,1.947361,0.177647,0.971637
2.766524,-3.981352,0.656033,0.717422
-1.298083,1.689804,0.013164,0.961099
-0.472225,2.604079,0.74828,0.588334
1.739357,2.896154,0.565958,0.434035
-3.210438,2.727796,0.833546,0.812428
0.521909,0.667846,0.713147,0.729794
-3.855051,0.336296,0.387567,0.691918
-0.118367,0.46578,0.437216,0.217109
-0.491489,2.434004,0.306003,0.05422
2.448768,-0.17216,0.116221,0.68089
0.994031,-0.231469,0.651031,0.686218
1.062158,-2.798907,0.374389,0.686396
-3.396198,1.9042,0.235988,0.871866
-0.972438,0.23173,0.944363,0.344008
0.34882,0.441156,0.005733,0.268706
3.846473,-0.728366,0.357509,0.173166
0.302974,-0.696402,0.523368,0.37312
-0.757717,-1.01757,0.96303,0.482734
-1.548336,-2.115601,0.206243,0.158315
-0.960858,2.447815,0.53063,0.519095
1.937456,0.435731,0.824856,0.183828
-1.555537,1.57434,0.31738,0.274772
-1.449507,1.453725,0.399658,0.524438
3.057469,-2.420652,0.355773,0.625404
-0.97334,-1.856475,0.506103,0.885132
-1.009368,2.031721,0.580897,0.724761
-1.172558,0.091146,0.677984,0.437374
-3.066223,3.394152,0.6148,0.929744
-0.826306,-1.779276,0.054272,0.880583
-2.70724,1.258188,0.486781,0.969882
-2.798676,0.000904,0.229768,0.608191
2.072032,-2.693099,0.743302,0.107411
-2.601756,2.591392,0.264558,0.628073
0.549025,0.402,0.253653,0.104162
1.039549,0.666676,0.056669,0.271319
0.831637,-0.285436,0.924168,0.884134
3.149268,0.351655,0.042939,0.580212
-0.326149,0.165615,0.348868,0.234921
0.408998,0.228332,0.153558,0.467616
1.229794,2.704043,0.095461,0.31793
1.306411,-1.912719,0.586875,0.654665
3.068155,4.256664,0.376494,0.023921
1.494196,-0.248917,0.376708,0.732216
-2.809002,-1.410397,0.319499,0.606837
-0.384881,1.983396,0.927068,0.65011
0.208168,-0.856618,0.581516,0.918185
-3.623607,5.364211,0.609107,0.489259
-1.457789,3.930925,0.503043,0.895227
-1.762761,-0.800866,0.078714,0.066005
0.010224,1.541,0.914931,0.571048
-0.932931,3.313247,0.422721,0.597615
0.915527,-3.615333,0.950774,0.356337
3.470461,-1.105663,0.902421,0.445209
-0.416775,-0.440456,0.1326,0.404737
0.412871,-2.32067,0.347612,0.915856
-1.968649,0.545754,0.237343,0.43509
-0.045718,-0.949188,0.929329,0.658864
-0.542624,-1.72425,0.095612,0.566451
2.15401,-1.869574,0.26194,0.997305
3.225803,0.841097,0.297239,0.681871
2.916784,-2.948157,0.869053,0.687376
-2.20771,-1.362135,0.26866,0.481247
0.479623,-0.894399,0.88434,0.412704
-0.169229,0.297046,0.760229,0.889258
0.975525,0.319366,0.262364,0.424082
-3.763183,-0.603075,0.65809,0.155595
